n,sum_E,sum_m,time,n + 1 + sum_E + sum_m,O(n + 1 + sum_E + sum_m),,O(log(n),,O(n),,O(n^2),,O(nlog(n)),,O(n^3),,O(sqrt(n)),
5,5,7,0,18,-0.034404919,0.001183698,-1.190410568,1.42E+00,-3.67E-01,1.35E-01,-0.031806937,1.01E-03,-0.301950234,0.091173944,0.121582751,0.014782365,-0.752968313,0.56696128
7,14,14,0,36,-0.034400148,0.00118337,-1.008095305,1.02E+00,-3.66E-01,1.34E-01,-0.031804361,1.01E-03,-0.301417478,0.090852496,0.121582754,0.014782366,-0.725827341,0.526825329
10,28,18,0,57,-0.034394581,0.001182987,-0.814833338,6.64E-01,-3.63E-01,1.32E-01,-0.031798888,1.01E-03,-0.300518638,0.090311452,0.121582762,0.014782368,-0.691608162,0.47832185
15,78,36,0,130,-0.034375232,0.001181657,-0.595134742,3.54E-01,-3.59E-01,1.29E-01,-0.031785473,1.01E-03,-0.298836993,0.089303549,0.12158279,0.014782375,-0.644524863,0.415412299
22,169,62,0,254,-0.034342364,0.001179398,-0.387612915,1.50E-01,-3.53E-01,1.25E-01,-0.031757676,1.01E-03,-0.296219923,0.087746242,0.121582877,0.014782396,-0.590371061,0.34853799
33,377,115,0,526,-0.034270267,0.001174451,-0.16791432,2.82E-02,-3.44E-01,1.18E-01,-0.031692746,1.00E-03,-0.291691373,0.085083857,0.121583177,0.014782469,-0.520535242,0.270956939
49,917,227,0,1194,-0.034093205,0.001162347,0.046283281,2.14E-03,-3.30E-01,1.09E-01,-0.031551939,9.96E-04,-0.284493142,0.080936348,0.121584148,0.014782705,-0.4373642,0.191287443
73,1914,435,0.001,2423,-0.033767442,0.001208775,0.262283272,6.83E-02,-3.10E-01,9.66E-02,-0.0312377,1.04E-03,-0.272784705,0.074958065,0.121587373,0.014541314,-0.335076021,0.112947092
109,4284,822,0.001,5216,-0.033027122,0.001157845,0.479502031,2.29E-01,-2.79E-01,7.86E-02,-0.030534525,9.94E-04,-0.253846059,0.064946514,0.121598139,0.014543911,-0.209448504,0.044288573
163,9867,1736,0.002,11767,-0.031290694,0.00110827,0.697541074,4.84E-01,-2.34E-01,5.55E-02,-0.028958176,9.58E-04,-0.223364642,0.050789222,0.121634213,0.014312345,-0.05529855,0.003283124
244,22347,3273,0.005,25865,-0.027553836,0.001059752,0.916130471,8.30E-01,-1.65E-01,2.89E-02,-0.025420086,9.25E-04,-0.17452281,0.032228439,0.121755374,0.013631817,0.133732331,0.016572013
336,50380,6905,0.014,57622,-0.019136232,0.00109801,1.089489441,1.16E+00,-8.73E-02,1.03E-02,-0.019693373,1.14E-03,-0.115911943,0.016877113,0.122033514,0.01167124,0.313253177,0.089552464
549,112520,14238,0.029,127308,-0.000665054,0.000880015,1.355527662,1.76E+00,9.29E-02,4.08E-03,0.000537398,8.10E-04,0.02827323,5.28195E-07,0.123549043,0.008939521,0.651150906,0.38707175
823,253190,29951,0.074,283965,0.040858915,0.001098332,1.57489717,2.25E+00,3.25E-01,6.28E-02,0.040882818,1.10E-03,0.225313693,0.022895834,0.128206907,0.002938389,0.999435186,0.856430284
1234,570968,60868,0.148,633071,0.133393987,0.000213336,1.794376263,2.71E+00,6.72E-01,2.75E-01,0.131615902,2.68E-04,0.536782357,0.151151721,0.143912126,1.67107E-05,1.426100377,1.633540575
1851,1283958,129119,0.319,1414929,0.340635587,0.000468099,2.014074858,2.87E+00,1.19E+00,7.66E-01,0.335897806,2.86E-04,1.028264289,0.503055831,0.196944395,0.014897571,1.94912781,2.657316677
2776,2886113,269486,0.729,3158376,0.80275882,0.005440364,2.233675869,2.26E+00,1.98E+00,1.56E+00,0.795234134,4.39E-03,1.800926034,1.149025423,0.375790918,0.124756656,2.589388645,3.461045909
4164,6497849,571480,1.6,7073494,1.84051161,0.057845834,2.453374464,7.28E-01,3.15E+00,2.40E+00,1.829038827,5.25E-02,3.014114587,1.999720066,0.979535316,0.384976424,3.373859149,3.146576282
6246,14628616,1218753,3.799,15853616,4.167796789,0.136011071,2.67307306,1.27E+00,4.91E+00,1.24E+00,4.155099386,1.27E-01,4.914580348,1.244519512,3.017172661,0.611253988,4.334635377,0.286905257
9369,32916223,2587384,9.598,35512977,9.378765325,0.048063843,2.892771656,4.50E+01,7.55E+00,4.18E+00,9.388735643,4.38E-02,7.886303384,2.929905306,9.894198699,0.08773367,5.511341134,16.70078069
MSE,,,,,,0.013195073,,3.260809886,,0.581899886,,0.012100542,,0.442774073,,0.07038453,,1.609730691
